months,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12
days,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,5,6,7,8,9,10,15,20,25,30,61,91.5,122,152.5,183,213.5,244,274.5,305,335.5,366
hours,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,30,36,42,48,72,96,120,144,168,192,216,240,360,480,600,720,1464,2196,2928,3660,4392,5124,5856,6588,7320,8052,8784
Label,,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,1d,2d,2d,2d,2d,3d,4d,5d,6d,7d,8d,9d,10d,15d,20d,25d,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m
Amazon p2.xlarge on-demand,Price (USD) total for period,0.90 ,1.80 ,2.70 ,3.60 ,4.50 ,5.40 ,6.30 ,7.20 ,8.10 ,9.00 ,9.90 ,10.80 ,11.70 ,12.60 ,13.50 ,14.40 ,15.30 ,16.20 ,17.10 ,18.00 ,18.90 ,19.80 ,20.70 ,21.60 ,27.00 ,32.40 ,37.80 ,43.20 ,64.80 ,86.40 ,108.00 ,129.60 ,151.20 ,172.80 ,194.40 ,216.00 ,324.00 ,432.00 ,540.00 ,648.00 ,1317.60 ,1976.40 ,2635.20 ,3294.00 ,3952.80 ,4611.60 ,5270.40 ,5929.20 ,6588.00 ,7246.80 ,7905.60 
,CPU ($/Tflops),20.25 ,40.50 ,60.75 ,81.00 ,101.25 ,121.50 ,141.75 ,162.00 ,182.25 ,202.50 ,222.75 ,243.00 ,263.25 ,283.50 ,303.75 ,324.00 ,344.25 ,364.50 ,384.75 ,405.00 ,425.25 ,445.50 ,465.75 ,486.00 ,607.50 ,729.00 ,850.50 ,972.00 ,1458.00 ,1944.00 ,2430.00 ,2916.00 ,3402.00 ,3888.00 ,4374.00 ,4860.00 ,7290.00 ,9720.00 ,12150.00 ,14580.00 ,29646.00 ,44469.00 ,59292.00 ,74115.00 ,88938.00 ,103761.00 ,118584.00 ,133407.00 ,148230.00 ,163053.00 ,177876.00 
,GPU ($/Tflops),0.10 ,0.21 ,0.31 ,0.41 ,0.51 ,0.62 ,0.72 ,0.82 ,0.93 ,1.03 ,1.13 ,1.24 ,1.34 ,1.44 ,1.54 ,1.65 ,1.75 ,1.85 ,1.96 ,2.06 ,2.16 ,2.27 ,2.37 ,2.47 ,3.09 ,3.71 ,4.32 ,4.94 ,7.41 ,9.89 ,12.36 ,14.83 ,17.30 ,19.77 ,22.24 ,24.71 ,37.07 ,49.43 ,61.78 ,74.14 ,150.76 ,226.13 ,301.51 ,376.89 ,452.27 ,527.64 ,603.02 ,678.40 ,753.78 ,829.15 ,904.53 
Amazon p2 dedicated host On-demand,Price (USD) total for period,15.84 ,31.68 ,47.52 ,63.36 ,79.20 ,95.04 ,110.88 ,126.72 ,142.56 ,158.40 ,174.24 ,190.08 ,205.92 ,221.76 ,237.60 ,253.44 ,269.28 ,285.12 ,300.96 ,316.80 ,332.64 ,348.48 ,364.32 ,380.16 ,475.20 ,570.24 ,665.28 ,760.32 ,1140.48 ,1520.64 ,1900.80 ,2280.96 ,2661.12 ,3041.28 ,3421.44 ,3801.60 ,5702.40 ,7603.20 ,9504.00 ,11404.80 ,23189.76 ,34784.64 ,46379.52 ,57974.40 ,69569.28 ,81164.16 ,92759.04 ,104353.92 ,115948.80 ,127543.68 ,139138.56 
,CPU ($/Tflops),19.80 ,39.60 ,59.40 ,79.20 ,99.00 ,118.80 ,138.60 ,158.40 ,178.20 ,198.00 ,217.80 ,237.60 ,257.40 ,277.20 ,297.00 ,316.80 ,336.60 ,356.40 ,376.20 ,396.00 ,415.80 ,435.60 ,455.40 ,475.20 ,594.00 ,712.80 ,831.60 ,950.40 ,1425.60 ,1900.80 ,2376.00 ,2851.20 ,3326.40 ,3801.60 ,4276.80 ,4752.00 ,7128.00 ,9504.00 ,11880.00 ,14256.00 ,28987.20 ,43480.80 ,57974.40 ,72468.00 ,86961.60 ,101455.20 ,115948.80 ,130442.40 ,144936.00 ,159429.60 ,173923.20 
,GPU ($/Tflops),0.11 ,0.23 ,0.34 ,0.45 ,0.57 ,0.68 ,0.79 ,0.91 ,1.02 ,1.13 ,1.25 ,1.36 ,1.47 ,1.59 ,1.70 ,1.81 ,1.93 ,2.04 ,2.15 ,2.27 ,2.38 ,2.49 ,2.61 ,2.72 ,3.40 ,4.08 ,4.76 ,5.44 ,8.16 ,10.87 ,13.59 ,16.31 ,19.03 ,21.75 ,24.47 ,27.19 ,40.78 ,54.37 ,67.96 ,81.56 ,165.83 ,248.75 ,331.66 ,414.58 ,497.49 ,580.41 ,663.32 ,746.24 ,829.15 ,912.07 ,994.98 
Amazon p2 dedicated host 1y. no Up.,Price (USD) total for period,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 ,105525.72 
,CPU ($/Tflops),131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 ,131907.15 
,GPU ($/Tflops),754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 ,754.62 
Amazon p2 dedicated host 1y. Up.100%,Price (USD) total for period,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 ,88389.00 
